tokens;ner_tags
Mount;B-MOU
Everest;I-MOU
is;O
located;O
in;O
the;O
Himalayas;B-LOC
.;O
;
The;O
Alps;B-LOC
are;O
a;O
famous;O
mountain;O
range;O
in;O
Europe;B-LOC
.;O
;
Mount;B-MOU
Kilimanjaro;I-MOU
is;O
the;O
tallest;O
mountain;O
in;O
Africa;B-LOC
.;O
;
Mount;B-MOU
Fuji;I-MOU
is;O
an;O
iconic;O
symbol;O
of;O
Japan;B-LOC
.;O
;
The;O
Andes;B-MOU
stretch;O
across;O
several;O
countries;O
in;O
South;B-LOC
America;I-LOC
.;O
;
Mount;B-MOU
McKinley;I-MOU
is;O
the;O
highest;O
peak;O
in;O
North;B-LOC
America;I-LOC
.;O
;
Climbing;O
Mount;B-MOU
Elbrus;I-MOU
is;O
a;O
challenge;O
in;O
Russia;B-LOC
.;O
;
Mount;B-MOU
Etna;I-MOU
is;O
an;O
active;O
volcano;O
in;O
Italy;B-LOC
.;O
;
Mount;B-MOU
Aconcagua;I-MOU
is;O
the;O
highest;O
point;O
in;O
the;O
southern;O
hemisphere;O
.;O
;
K2;B-MOU
is;O
known;O
for;O
its;O
difficulty;O
and;O
is;O
located;O
in;O
the;O
Karakoram;B-LOC
range;O
.;O
;
Mount;B-MOU
Denali;I-MOU
is;O
covered;O
with;O
snow;O
year-round;O
.;O
;
The;O
Caucasus;B-LOC
Mountains;B-MOU
lie;O
between;O
the;O
Black;B-LOC
Sea;I-LOC
and;O
the;O
Caspian;B-LOC
Sea;I-LOC
.;O
;
Mont;B-MOU
Blanc;I-MOU
is;O
the;O
highest;O
peak;O
in;O
the;O
Alps;B-LOC
.;O
;
Mount;B-MOU
Kosciuszko;I-MOU
is;O
the;O
highest;O
mountain;O
in;O
Australia;B-LOC
.;O
;
Mount;B-MOU
Vinson;I-MOU
is;O
the;O
tallest;O
peak;O
in;O
Antarctica;B-LOC
.;O
;
Mount;B-MOU
Rainier;I-MOU
is;O
located;O
in;O
Washington;B-LOC
state;O
in;O
the;O
United;B-LOC
States;I-LOC
.;O
;
The;O
Himalayas;B-MOU
are;O
home;O
to;O
several;O
of;O
the;O
world's;O
highest;O
peaks;O
.;O
;
Mount;B-MOU
Olympus;I-MOU
in;O
Greece;B-LOC
is;O
famous;O
in;O
Greek;B-LOC
mythology;O
.;O
;
Table;B-MOU
Mountain;I-MOU
is;O
a;O
flat-topped;O
mountain;O
in;O
Cape;B-LOC
Town;I-LOC
.;O
;
The;O
Pyrenees;B-LOC
form;O
a;O
natural;O
border;O
between;O
France;B-LOC
and;O
Spain;B-LOC
.;O
;
Mount;B-MOU
Whitney;I-MOU
is;O
the;O
highest;O
peak;O
in;O
California;B-LOC
.;O
;
Ben;B-MOU
Nevis;I-MOU
is;O
the;O
highest;O
mountain;O
in;O
the;O
British;B-LOC
Isles;I-LOC
.;O
;
Mount;B-MOU
St.;I-MOU
Helens;I-MOU
is;O
known;O
for;O
its;O
eruption;O
in;O
1980;O
.;O
;
The;O
Appalachian;B-LOC
Mountains;B-MOU
span;O
the;O
eastern;O
United;B-LOC
States;I-LOC
.;O
;
Mount;B-MOU
Logan;I-MOU
is;O
the;O
tallest;O
mountain;O
in;O
Canada;B-LOC
.;O
;
Mauna;B-MOU
Kea;I-MOU
is;O
a;O
dormant;O
volcano;O
in;O
Hawaii;B-LOC
.;O
;
Mount;B-MOU
Rinjani;I-MOU
is;O
a;O
volcano;O
on;O
the;O
island;O
of;O
Lombok;B-LOC
in;O
Indonesia;B-LOC
.;O
;
Mount;B-MOU
Kenya;I-MOU
is;O
the;O
second;O
highest;O
mountain;O
in;O
Africa;B-LOC
.;O
;
The;O
Carpathian;B-MOU
Mountains;I-MOU
are;O
found;O
in;O
Central;B-LOC
and;O
Eastern;B-LOC
Europe;I-LOC
.;O
;
Mount;B-MOU
Ararat;I-MOU
is;O
a;O
significant;O
peak;O
in;O
Turkey;B-LOC
.;O
;
Mount;B-MOU
Cook;I-MOU
is;O
the;O
highest;O
mountain;O
in;O
New;B-LOC
Zealand;I-LOC
.;O
;
Mount;B-MOU
Shasta;I-MOU
is;O
a;O
prominent;O
volcano;O
in;O
California;B-LOC
.;O
;
The;O
Drakensberg;B-MOU
Mountains;I-MOU
are;O
located;O
in;O
South;B-LOC
Africa;I-LOC
.;O
;
Mount;B-MOU
Kinabalu;I-MOU
is;O
the;O
highest;O
mountain;O
in;O
Malaysia;B-LOC
.;O
;
The;O
Zagros;B-MOU
Mountains;I-MOU
are;O
a;O
major;O
range;O
in;O
Iran;B-LOC
.;O
;
Mount;B-MOU
Katahdin;I-MOU
is;O
a;O
peak;O
in;O
Maine;B-LOC
.;O
;
Mount;B-MOU
Pico;I-MOU
is;O
the;O
tallest;O
mountain;O
in;O
Portugal;B-LOC
.;O
;
Mount;B-MOU
Orizaba;I-MOU
is;O
also;O
known;O
as;O
Citlaltépetl;B-MOU
in;O
Mexico;B-LOC
.;O
;
The;O
Ural;B-MOU
Mountains;I-MOU
form;O
a;O
natural;O
divide;O
between;O
Europe;B-LOC
and;O
Asia;B-LOC
.;O
;
Mount;B-MOU
Hood;I-MOU
is;O
a;O
prominent;O
peak;O
in;O
Oregon;B-LOC
.;O
;
The;O
Sierra;B-MOU
Nevada;I-MOU
Mountains;I-MOU
are;O
a;O
mountain;O
range;O
in;O
California;B-LOC
.;O
;
Mount;B-MOU
Gunnbjorn;I-MOU
is;O
the;O
highest;O
mountain;O
in;O
Greenland;B-LOC
.;O
;
Snowdon;B-MOU
is;O
the;O
tallest;O
peak;O
in;O
Wales;B-LOC
.;O
;
Mount;B-MOU
Aspiring;I-MOU
is;O
a;O
beautiful;O
peak;O
in;O
New;B-LOC
Zealand;I-LOC
.;O
;
Pico;B-MOU
de;I-MOU
Aneto;I-MOU
is;O
the;O
highest;O
mountain;O
in;O
the;O
Pyrenees;B-LOC
.;O
;
Mount;B-MOU
Thielsen;I-MOU
is;O
sometimes;O
called;O
the;O
Lightning;B-LOC
.;O
;
Mount;B-MOU
Drummond;I-MOU
rises;O
tall;O
in;O
the;O
Brooks;B-LOC
Range;I-LOC
of;O
Alaska;B-LOC
.;O
;
Mount;B-MOU
Ngauruhoe;I-MOU
is;O
one;O
of;O
the;O
active;O
volcanoes;O
in;O
New;B-LOC
Zealand;I-LOC
.;O
;
The;O
Hindu;B-MOU
Kush;I-MOU
range;O
extends;O
through;O
Afghanistan;B-LOC
and;O
Pakistan;B-LOC
.;O
;
Mount;B-MOU
Taranaki;I-MOU
is;O
known;O
for;O
its;O
perfectly;O
symmetrical;O
cone;O
shape;O
in;O
New;B-LOC
Zealand;I-LOC
.;O
;
Mount;B-MOU
Elbert;I-MOU
is;O
the;O
highest;O
peak;O
in;O
Colorado;B-LOC
.;O
;
The;O
Jura;B-MOU
Mountains;I-MOU
form;O
a;O
natural;O
border;O
between;O
France;B-LOC
and;O
Switzerland;B-LOC
.;O
;
Mount;B-MOU
Ras;I-MOU
Dashen;I-MOU
is;O
the;O
highest;O
point;O
in;O
Ethiopia;B-LOC
.;O
;
Mount;B-MOU
Dykh-Tau;I-MOU
is;O
the;O
second;O
highest;O
mountain;O
in;O
Europe;B-LOC
.;O
;
Gunnison;B-MOU
Butte;I-MOU
stands;O
tall;O
in;O
Colorado;B-LOC
.;O
;
The;O
Selkirk;B-MOU
Mountains;I-MOU
are;O
a;O
range;O
in;O
British;B-LOC
Columbia;I-LOC
.;O
;
Monte;B-MOU
Cristallo;I-MOU
is;O
a;O
striking;O
peak;O
in;O
the;O
Dolomites;B-LOC
of;O
Italy;B-LOC
.;O
;
Mount;B-MOU
Sundoro;I-MOU
is;O
one;O
of;O
Java's;B-LOC
tall;O
volcanoes;O
in;O
Indonesia;B-LOC
.;O
;
The;O
White;B-MOU
Mountains;I-MOU
are;O
a;O
mountain;O
range;O
in;O
New;B-LOC
Hampshire;I-LOC
.;O
;
Mount;B-MOU
Marcy;I-MOU
is;O
the;O
highest;O
peak;O
in;O
New;B-LOC
York;I-LOC
state;O
.;O
;
The;O
Hida;B-MOU
Mountains;I-MOU
in;O
Japan;B-LOC
are;O
also;O
known;O
as;O
the;O
Northern;B-LOC
Alps;I-LOC
.;O
;
Mount;B-MOU
Iztaccihuatl;I-MOU
is;O
located;O
near;O
Mexico;B-LOC
City;I-LOC
and;O
is;O
a;O
dormant;O
volcano;O
.;O
;
Mount;B-MOU
Paget;I-MOU
is;O
one;O
of;O
the;O
highest;O
peaks;O
in;O
South;B-LOC
Georgia;I-LOC
Island;O
.;O
;
The;O
Tian;B-MOU
Shan;I-MOU
range;O
spans;O
several;O
Central;B-LOC
Asian;I-LOC
countries;O
.;O
;
Mount;B-MOU
Elgon;I-MOU
is;O
located;O
on;O
the;O
border;O
of;O
Uganda;B-LOC
and;O
Kenya;B-LOC
.;O
;
Rising;O
above;O
the;O
city;O
of;O
Cape;B-LOC
Town;I-LOC
,;O
Lion's;B-MOU
Head;I-MOU
is;O
a;O
popular;O
peak;O
for;O
hiking;O
.;O
;
Mount;B-MOU
Humphreys;I-MOU
is;O
the;O
highest;O
mountain;O
in;O
Arizona;B-LOC
.;O
;
The;O
Khangchendzonga;B-MOU
Mountain;I-MOU
is;O
sacred;O
to;O
the;O
people;O
of;O
Sikkim;B-LOC
in;O
India;B-LOC
.;O
;
Mount;B-MOU
Rundle;I-MOU
is;O
a;O
popular;O
hiking;O
destination;O
in;O
Banff;B-LOC
National;B-LOC
Park;I-LOC
,;O
Canada;B-LOC
.;O
;
Mount;B-MOU
Gongga;I-MOU
is;O
one;O
of;O
the;O
tallest;O
peaks;O
in;O
China;B-LOC
.;O
;
Mount;B-MOU
Monadnock;I-MOU
is;O
one;O
of;O
the;O
most;O
climbed;O
mountains;O
in;O
the;O
United;B-LOC
States;I-LOC
.;O
;
Mount;B-MOU
Siple;I-MOU
is;O
a;O
volcano;O
in;O
Antarctica;B-LOC
.;O
;
Mount;B-MOU
Stromboli;I-MOU
is;O
an;O
active;O
volcano;O
in;O
Italy;B-LOC
.;O
;
Mount;B-MOU
Sefton;I-MOU
is;O
a;O
notable;O
peak;O
in;O
New;B-LOC
Zealand;I-LOC
.;O
;
Mount;B-MOU
Diablo;I-MOU
overlooks;O
the;O
San;B-LOC
Francisco;I-LOC
Bay;O
Area;O
.;O
;
The;O
Cordillera;B-MOU
Blanca;I-MOU
range;O
is;O
located;O
in;O
Peru;B-LOC
.;O
;
Pico;B-MOU
Bolívar;I-MOU
is;O
the;O
highest;O
mountain;O
in;O
Venezuela;B-LOC
.;O
;
Mount;B-MOU
Saint;I-MOU
Elias;I-MOU
straddles;O
the;O
border;O
between;O
Alaska;B-LOC
and;O
Canada;B-LOC
.;O
;
The;O
San;B-MOU
Gabriel;I-MOU
Mountains;I-MOU
are;O
a;O
mountain;O
range;O
in;O
California;B-LOC
.;O
;
Mount;B-MOU
Titicaca;I-MOU
is;O
located;O
near;O
the;O
famous;O
lake;O
of;O
the;O
same;O
name;O
in;O
Peru;B-LOC
and;O
Bolivia;B-LOC
.;O
;
The;O
Teton;B-MOU
Range;I-MOU
is;O
part;O
of;O
the;O
Rocky;B-LOC
Mountains;I-LOC
in;O
Wyoming;B-LOC
.;O
;
Mount;B-MOU
Kongur;I-MOU
is;O
one;O
of;O
the;O
highest;O
peaks;O
in;O
the;O
Pamir;B-LOC
Mountains;I-LOC
.;O
;
Mount;B-MOU
Pumori;I-MOU
is;O
a;O
peak;O
near;O
Mount;B-MOU
Everest;I-MOU
in;O
Nepal;B-LOC
.;O
;
Mount;B-MOU
Alam;I-MOU
Kuh;I-MOU
is;O
a;O
notable;O
mountain;O
in;O
Iran;B-LOC
.;O
;
The;O
Carstensz;B-MOU
Pyramid;I-MOU
is;O
the;O
highest;O
summit;O
in;O
Oceania;B-LOC
.;O
;
Mount;B-MOU
Jackson;I-MOU
is;O
part;O
of;O
the;O
Rockies;B-LOC
in;O
Montana;B-LOC
.;O
;
Mount;B-MOU
Tahumanu;I-MOU
is;O
an;O
ancient;O
volcano;O
in;O
Tonga;B-LOC
.;O
;
Rising;O
from;O
the;O
desert;O
floor;O
,;O
Mount;B-MOU
Sinai;I-MOU
is;O
